temperature_C,voltage_V,c_iss_F,c_oss_F,c_rss_F
25,0.0,7.6773e-09,6.5706e-09,2.4527e-09
25,0.96463,,,1.2502e-09
25,1.6077,,4.6923e-09,
25,2.2508,,,9.6499e-10
25,2.5723,6.575e-09,,
25,3.8585,,,7.0724e-10
25,4.4678,,3.6023e-09,
25,6.5468,,,4.9358e-10
25,7.074,,2.871e-09,
25,8.0386,6.2515e-09,,
25,9.1513,,,3.7997e-10
25,10.289,,2.3965e-09,
25,10.611,,,2.9339e-10
25,11.254,,2.0517e-09,
25,11.322,,,1.5098e-10
25,11.588,,,1.2549e-10
25,11.897,,1.8025e-09,
25,12.219,,,9.6249e-11
25,13.949,,1.6725e-09,
25,16.077,6.1042e-09,,7.8296e-11
25,16.462,,1.5172e-09,
25,18.975,,1.4009e-09,
25,21.488,,1.3066e-09,
25,21.543,,,6.2768e-11
25,23.787,,,5.8716e-11
25,24.002,,1.2166e-09,
25,25.974,,,5.2085e-11
25,26.515,,1.1234e-09,
25,28.342,,,4.8745e-11
25,29.028,,1.0533e-09,
25,31.541,,1.0065e-09,
25,34.054,,9.5446e-10,
25,36.796,,,4.0428e-11
25,39.309,,,3.9253e-11
25,41.822,,,3.7921e-11
25,44.106,,8.4744e-10,
25,44.335,,,3.6788e-11
25,46.815,,8.2044e-10,
25,46.848,,,3.4915e-11
25,49.513,,,3.3633e-11
25,51.874,,,3.3468e-11
25,54.159,,7.5362e-10,
25,54.387,,,3.1938e-11
25,56.672,,7.5362e-10,
25,56.9,,,3.1585e-11
25,59.185,,7.4782e-10,
25,59.414,,,3.1632e-11
25,61.927,,,3.1023e-11
25,63.666,6.18e-09,,
25,64.44,,,3.0732e-11
25,66.953,,,3.0573e-11
25,69.466,,,3.0185e-11
25,71.852,,6.5816e-10,
25,71.979,,,3.0029e-11
25,74.106,,6.5301e-10,
25,74.492,,,2.9623e-11
25,76.777,,6.5692e-10,
25,77.005,,,2.9519e-11
25,79.29,,6.5107e-10,
25,79.519,,,2.9222e-11
25,81.898,,6.5285e-10,
25,82.032,,,2.9444e-11
25,84.262,,6.4028e-10,
25,84.545,,,2.934e-11
25,87.058,,,2.8722e-11
25,89.571,,,2.7316e-11
25,91.856,,6.0662e-10,
25,92.084,,,2.6936e-11
25,94.369,,6.0195e-10,
25,94.597,,,2.6617e-11
25,96.882,,5.9932e-10,
25,97.11,,,2.6324e-11
25,102.14,,,2.5791e-11
25,104.65,,,2.5614e-11
25,107.16,,,2.5289e-11
25,109.45,,5.5437e-10,
25,109.68,,,2.5179e-11
25,111.96,,5.4872e-10,
25,112.19,,,2.4839e-11
25,114.47,,5.4132e-10,
25,114.7,,,2.4731e-11
25,116.99,,5.3805e-10,
25,117.22,,,2.4438e-11
25,119.5,,5.3124e-10,
25,119.73,,,2.4393e-11
25,122.01,,5.2803e-10,
25,122.24,,,2.4104e-11
25,124.53,,5.2135e-10,
25,124.75,,,2.4019e-11
25,127.04,,5.1864e-10,
25,127.27,,,2.3774e-11
25,129.55,,5.1207e-10,
25,129.78,,,2.3611e-11
25,132.07,,5.0941e-10,
25,132.29,,,2.3528e-11
25,134.58,,5.0337e-10,
25,134.81,,,2.3249e-11
25,137.09,,5.0034e-10,
25,137.32,,,2.3225e-11
25,139.6,,4.9483e-10,
25,139.83,,,2.295e-11
25,142.12,,4.9308e-10,
25,142.35,,,2.2831e-11
25,144.63,,4.8684e-10,
25,144.86,,,2.2751e-11
25,147.3,,4.7372e-10,
25,147.37,,,2.2331e-11
25,149.98,,,2.1793e-11
25,152.4,,,2.1497e-11
25,154.91,,,2.1403e-11
25,157.0,,4.6523e-10,
25,157.43,,,2.1328e-11
25,159.94,,,2.1503e-11
25,162.45,,,2.1481e-11
25,164.96,,,2.1334e-11
25,167.48,,,2.1152e-11
25,169.99,,,2.1255e-11
25,172.5,,,2.1091e-11
25,175.02,,,2.0999e-11
25,177.53,,,2.1013e-11
25,180.04,,,2.0974e-11
25,182.33,,4.3177e-10,
25,182.56,,,2.09e-11
25,184.84,,4.3097e-10,
25,185.07,,,2.0861e-11
25,187.35,,4.2837e-10,
25,187.58,,,2.0874e-11
25,190.03,,4.3233e-10,
25,190.1,,,2.0679e-11
25,192.38,,4.3853e-10,
25,192.61,,,2.071e-11
25,194.89,,4.3988e-10,
25,195.12,,,2.0723e-11
25,197.19,,4.33e-10,
25,197.63,,,2.0737e-11
25,199.68,6.4019e-09,,
25,199.81,,,2.0989e-11
25,199.87,,4.1864e-10,
25,210.3092783505154,6.2182857891509695e-09,,1.8696414487245352e-11
25,245.36082474226794,,3.6481383710383357e-10,
25,278.35051546391753,,,1.6708328690434177e-11
25,307.2164948453608,,3.2609068943946254e-10,
25,313.4020618556701,,,1.579446607210099e-11
25,375.25773195876286,,,1.4916826153033776e-11
25,379.3814432989691,,2.913744538295114e-10,
25,472.1649484536083,,,1.3317412327854455e-11
25,476.2886597938144,,2.601326651957937e-10,
25,521.6494845360825,,,1.3294761035706327e-11
25,573.1958762886599,,,1.2560474255582798e-11
25,577.319587628866,5.811430841615657e-09,,
25,600.0,,2.385009096766232e-10,
25,624.7422680412371,,,1.2197862431918408e-11
25,686.59793814433,,,1.2171934104944624e-11
25,738.1443298969072,,2.185594337519401e-10,
25,767.0103092783504,,,1.2138309658418865e-11
25,853.6082474226805,,,1.2439891997510432e-11
25,868.0412371134021,5.91414290359981e-09,,
25,921.6494845360826,,,1.241080801538634e-11
25,927.8350515463917,,2.2319667642912391e-10,
25,1057.7319587628865,,,1.2697526972450358e-11
25,1068.041237113402,,2.2212273351619611e-10,
25,1193.8144329896907,,2.211637411751319e-10,1.2638223732627719e-11
25,1197.9381443298969,5.6886718762716055e-09,,
